Timestamp,EMG_Value
1744797164.8575382,380
1744797164.8575382,394
1744797164.8575382,385
1744797164.8575382,393
1744797164.8575382,388
1744797164.8602679,393
1744797164.8602679,388
1744797164.8602679,389
1744797164.8889723,386
1744797164.9488,383
1744797165.0002267,381
1744797165.047973,376
1744797165.098717,376
1744797165.1441774,373
1744797165.1916754,378
1744797165.2529953,372
1744797165.302651,381
1744797165.352801,371
1744797165.3977637,388
1744797165.4453387,375
1744797165.5029323,392
1744797165.556399,381
1744797165.6043622,395
1744797165.6522837,389
1744797165.700167,398
1744797165.7561073,393
1744797165.795406,399
1744797165.859529,396
1744797165.908061,396
1744797165.9598992,395
1744797166.0008397,392
1744797166.0480304,390
1744797166.109939,386
1744797166.159468,386
1744797166.205266,382
1744797166.2526922,388
1744797166.300666,380
1744797166.3480225,393
1744797166.4114158,380
1744797166.460363,397
1744797166.515114,384
1744797166.5540357,400
1744797166.616439,389
1744797166.664844,402
1744797166.7123954,394
1744797166.7603152,401
1744797166.8140364,397
1744797166.855637,400
1744797166.9106753,397
1744797166.9686158,395
1744797167.0195105,391
1744797167.0689642,383
1744797167.1161897,378
1744797167.1664293,370
1744797167.2185464,370
1744797167.2702389,362
1744797167.3221524,367
1744797167.3713267,358
1744797167.4127414,372
1744797167.4699748,358
1744797167.5242739,374
1744797167.5706408,360
1744797167.6239839,374
1744797167.671484,366
1744797167.7241628,376
1744797167.7775059,369
1744797167.826955,374
1744797167.8755822,370
1744797167.9269226,371
1744797167.9766881,369
1744797168.0279229,366
1744797168.0804722,364
1744797168.1303158,360
1744797168.1778965,361
1744797168.222166,357
1744797168.2690697,360
1744797168.329529,354
1744797168.3804576,361
1744797168.428446,351
1744797168.4835536,367
1744797168.5299597,355
1744797168.5804746,371
1744797168.6346636,360
1744797168.6837852,374
1744797168.7299247,365
1744797168.7786334,374
1744797168.8254704,369
1744797168.8790443,372
1744797168.93717,369
1744797168.9884942,369
1744797169.0339787,367
1744797169.0882509,363
1744797169.129004,361
1744797169.1754642,357
1744797169.2397058,359
1744797169.2870617,354
1744797169.3345382,359
1744797169.3889449,351
1744797169.429931,363
1744797169.492129,351
1744797169.5419762,368
1744797169.5906157,356
1744797169.6349697,372
1744797169.6829255,362
