Timestamp,EMG_Value
1744797694.2233202,159
1744797694.2233202,158
1744797694.2233202,156
1744797694.2260132,154
1744797694.2260132,155
1744797694.2260132,153
1744797694.2260132,151
1744797694.2260132,147
1744797694.256677,147
1744797694.302155,144
1744797694.3496695,144
1744797694.3970194,143
1744797694.4607856,145
1744797694.5084395,146
1744797694.5565584,142
1744797694.6045208,138
1744797694.6520398,141
1744797694.710423,136
1744797694.762709,139
1744797694.811044,139
1744797694.8585513,145
1744797694.9146674,139
1744797694.953561,138
1744797695.0168107,139
1744797695.0667117,137
1744797695.1165445,154
1744797695.160012,147
1744797695.2095757,170
1744797695.2670019,196
1744797695.319773,198
1744797695.3667374,179
1744797695.4199839,166
1744797695.4693356,191
1744797695.5206652,188
1744797695.5619195,191
1744797695.6097531,170
1744797695.657473,161
1744797695.7221076,180
1744797695.772332,154
1744797695.8201923,157
1744797695.8685744,142
1744797695.9146261,148
1744797695.9630754,145
1744797696.0268521,133
1744797696.0743172,120
1744797696.1220045,125
1744797696.16876,106
1744797696.2171886,102
1744797696.2796004,105
1744797696.3267558,107
1744797696.3746095,104
1744797696.423615,104
1744797696.480478,103
1744797696.5159526,109
1744797696.5814142,123
1744797696.6286259,130
1744797696.6745682,131
1744797696.7221646,121
1744797696.7697327,124
1744797696.8323345,120
1744797696.8840861,127
1744797696.92722,132
1744797696.9746501,143
1744797697.0216928,141
1744797697.0870926,148
1744797697.1328807,147
1744797697.1878972,144
1744797697.2274365,151
1744797697.27513,155
1744797697.3383565,155
1744797697.3878264,142
1744797697.4360044,135
1744797697.483304,128
1744797697.527482,116
1744797697.575197,114
1744797697.640565,120
1744797697.6901414,136
1744797697.736081,134
1744797697.7818997,119
1744797697.8297288,112
1744797697.8930194,132
1744797697.9428663,160
1744797697.9883375,154
1744797698.0358236,160
1744797698.0926096,153
1744797698.1361055,149
1744797698.1950204,139
1744797698.242831,142
1744797698.2904303,139
1744797698.3400335,137
1744797698.3858545,133
1744797698.449309,135
1744797698.497217,133
1744797698.5447037,133
1744797698.592724,128
1744797698.6404252,127
1744797698.6900253,128
1744797698.7520947,125
1744797698.8001678,124
1744797698.8476298,120
1744797698.8955295,120
1744797698.9432743,121
1744797698.9903882,130
1744797699.0540001,104
1744797699.1036875,85
1744797699.1568615,91
1744797699.202711,117
1744797699.2441304,123
1744797699.3079882,117
1744797699.3562396,134
1744797699.408007,137
1744797699.455578,139
1744797699.500252,124
1744797699.5468247,123
1744797699.6025362,93
1744797699.6584933,92
1744797699.7059882,67
1744797699.753485,59
1744797699.8003488,50
1744797699.847662,44
1744797699.912166,45
1744797699.9601915,44
1744797700.0078852,56
1744797700.0534236,75
1744797700.1014357,66
1744797700.164052,90
1744797700.2114787,95
1744797700.2594643,94
1744797700.3070605,103
1744797700.354998,132
1744797700.4182246,140
1744797700.4677696,144
1744797700.5131514,129
1744797700.562304,143
1744797700.6081908,132
1744797700.655949,167
1744797700.7199128,162
1744797700.767413,153
1744797700.8163707,112
1744797700.8621676,71
1744797700.9094558,58
