Timestamp,EMG_Value
1744798286.5611787,162
1744798286.5611787,162
1744798286.5611787,167
1744798286.5611787,166
1744798286.5611787,164
1744798286.5611787,164
1744798286.5611787,163
1744798286.5611787,159
1744798286.592714,159
1744798286.6545727,162
1744798286.7037737,169
1744798286.7554166,171
1744798286.7988217,165
1744798286.8468876,161
1744798286.8943884,164
1744798286.957974,165
1744798287.0081122,160
1744798287.0587153,170
1744798287.1000903,165
1744798287.1475236,164
1744798287.2090776,159
1744798287.2608037,160
1744798287.310247,160
1744798287.3560047,158
1744798287.4014394,161
1744798287.458973,159
1744798287.5123858,168
1744798287.5637445,165
1744798287.6118586,171
1744798287.6641352,164
1744798287.7143838,171
1744798287.7664306,169
1744798287.8140619,170
1744798287.8615508,166
1744798287.9107347,167
1744798287.9672728,171
1744798288.0105956,177
1744798288.0682364,169
1744798288.1155694,169
1744798288.162959,164
1744798288.2186394,160
1744798288.2582664,165
1744798288.321818,174
1744798288.3694217,178
1744798288.41654,185
1744798288.4644759,192
1744798288.512519,192
1744798288.5721073,194
1744798288.624646,193
1744798288.6712484,197
1744798288.718678,197
1744798288.7665446,201
1744798288.815984,197
1744798288.8625693,193
1744798288.9257476,187
1744798288.9729002,176
1744798289.020137,172
1744798289.0676136,172
1744798289.1170757,167
1744798289.1783566,167
1744798289.2259254,170
1744798289.2753005,172
1744798289.3213246,187
1744798289.3688576,198
1744798289.4197485,203
1744798289.4797962,198
1744798289.5313919,196
1744798289.576223,196
1744798289.6251323,174
1744798289.6832168,155
1744798289.7326503,169
1744798289.7796693,162
1744798289.8268173,145
1744798289.874021,142
1744798289.9234078,124
1744798289.9843445,119
1744798290.032181,116
1744798290.0801747,120
1744798290.1281843,119
1744798290.1778674,124
1744798290.2240896,126
1744798290.2892194,128
1744798290.3407,130
1744798290.3902645,123
1744798290.4314134,121
1744798290.482207,127
1744798290.5424237,158
1744798290.590801,150
1744798290.6362543,153
1744798290.684153,149
1744798290.7334797,141
1744798290.781387,127
1744798290.8433294,140
1744798290.8953204,134
1744798290.9401917,151
1744798290.995669,139
1744798291.0436869,127
1744798291.0912845,128
1744798291.146683,124
1744798291.1862876,119
1744798291.2493155,137
1744798291.296836,154
1744798291.3443499,166
1744798291.3996022,188
1744798291.4411268,196
1744798291.5008774,201
1744798291.5498195,209
1744798291.597034,212
1744798291.6438937,203
1744798291.703387,191
1744798291.7418027,179
1744798291.8023112,178
1744798291.8498304,197
1744798291.9013712,205
1744798291.947218,208
1744798291.9927344,206
1744798292.0560288,218
1744798292.103976,217
1744798292.1557984,221
1744798292.2051156,211
1744798292.2467093,175
1744798292.2938294,163
1744798292.3577256,157
1744798292.405212,166
1744798292.4527946,202
1744798292.5000622,204
1744798292.5478141,215
1744798292.6109836,213
1744798292.662515,202
1744798292.711996,190
1744798292.7537794,160
1744798292.8103096,148
1744798292.8487935,173
1744798292.914367,186
1744798292.9635353,212
1744798293.0072684,218
1744798293.0548084,220
1744798293.102083,207
1744798293.1673698,195
1744798293.2134225,182
1744798293.2636454,188
1744798293.3180118,210
1744798293.357648,222
1744798293.4189487,224
1744798293.465947,224
1744798293.5134535,209
1744798293.5609639,205
1744798293.6088798,196
1744798293.6586287,203
1744798293.7205393,215
1744798293.7721128,214
1744798293.8226905,219
1744798293.87302,215
1744798293.9105456,218
1744798293.974254,218
1744798294.025476,215
1744798294.0690484,222
1744798294.1169531,222
1744798294.16452,228
1744798294.2137198,231
1744798294.2761273,222
1744798294.32353,224
1744798294.378706,220
1744798294.4191341,217
1744798294.4664476,214
1744798294.514026,207
1744798294.577584,221
1744798294.6307628,220
1744798294.6726613,237
1744798294.7202597,240
